Sample	virus_id	virus_length	provirus	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	kmer_freq	coordinates	genetic_code	virus_score	n_hallmarks	marker_enrichment	taxonomy	Genome type	Host type	Covered Fraction_Aphro18	RPKM_Aphro18	Covered Fraction_Povisternata	RPKM_Povisternata	Covered Fraction_Pcaliculata14	RPKM_Pcaliculata14	Covered Fraction_Characella	RPKM_Characella	Covered Fraction_Paratimea	RPKM_Paratimea	Covered Fraction_Pcaliculata07	RPKM_Pcaliculata07	Covered Fraction_Chondrilla	RPKM_Chondrilla	Covered Fraction_Ggar08	RPKM_Ggar08	Covered Fraction_Phycopsis	RPKM_Phycopsis	Covered Fraction_Bolosoma	RPKM_Bolosoma	Covered Fraction_Gmega17	RPKM_Gmega17	Covered Fraction_Ggar09	RPKM_Ggar09	Covered Fraction_Farrea	RPKM_Farrea	Covered Fraction_Pcaliculata13	RPKM_Pcaliculata13	Covered Fraction_Gmega16	RPKM_Gmega16
Aphro18	Aphro18_contig_1009	21920	No	11	1	1	High-quality	High-quality	100.0	AAI-based (medium-confidence)	1.01		11	0.7878	0	1.2061	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	dsDNA	Prokaryote	1.0	201.75778	0.0	0.0	0.0	0.0	0.091012776	0.4097877	0.012591241	0.0	0.0	0.0	0.30770984	1.0256348	0.0	0.0	0.012956205	0.22189036	0.0	0.0	0.0	0.0	0.0	0.0	0.010310219	0.19790573	0.0	0.0	0.0	0.0
Aphro18	Aphro18_contig_1058	7231	No	8	2	0	Low-quality	Genome-fragment	2.92	HMM-based (lower-bound)	1.0		11	0.8442	0	0.0	Unclassified	Unknown	Unknown	1.0	72.26576	0.0	0.0	0.0	0.0	0.44931546	3.7266824	0.0	0.0	0.0	0.0	0.88701427	3.7309217	0.0	0.0	0.75992256	4.7084575	0.0	0.0	0.0	0.0	0.0	0.0	0.026828932	0.5999299	0.0	0.0	0.0	0.0
Aphro18	Aphro18_contig_1130	4710	No	1	1	0	Medium-quality	Genome-fragment	74.78	AAI-based (medium-confidence)	1.03		11	0.7177	0	0.0	Unclassified	Unknown	Unknown	1.0	217.81978	0.0	0.0	0.0	0.0	0.62547773	1.9071224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51104033	14.736624	0.0	0.0	0.0	0.0
Aphro18	Aphro18_contig_1156	8421	No	10	1	0	Low-quality	Genome-fragment	0.68	HMM-based (lower-bound)	1.42		11	0.8846	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Polintoviricetes;Orthopolintovirales;Adintoviridae	dsDNA	Eukaryote	1.0	39.566315	0.0	0.0	0.0	0.0	0.41111508	3.2000523	0.0	0.0	0.0	0.0	0.03990025	0.5339488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aphro18	Aphro18_contig_1368	65083	No	30	7	1	Low-quality	Genome-fragment	5.16	HMM-based (lower-bound)	1.1		11	0.8231	0	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	dsDNA	Prokaryote	1.0	12215.698	0.0	0.0	0.0	0.0	0.28153282	33.262047	0.1687691	2.5521593	0.0	0.0	0.19639537	33.161713	0.0	0.0	0.25399873	43.195576	0.0	0.0	0.0024737644	0.07642565	0.0	0.0	0.087734126	22.795938	0.0	0.0	0.0	0.0
Aphro18	Aphro18_contig_1405	5894	No	5	1	0	Medium-quality	Genome-fragment	54.95	HMM-based (lower-bound)	1.0		11	0.7008	0	0.0	Unclassified	Unknown	Unknown	1.0	7.7271247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aphro18	Aphro18_contig_1505	17002	No	20	1	0	High-quality	High-quality	100.0	HMM-based (lower-bound)	1.02		11	0.7169	0	0.0	Unclassified	Unknown	Unknown	1.0	56.817154	0.0	0.0	0.0	0.0	0.022703212	0.26416147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20168215	0.2860744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aphro18	Aphro18_contig_1581	9117	No	18	1	0	Low-quality	Genome-fragment	10.59	HMM-based (lower-bound)	1.0		11	0.7129	0	0.0	Unclassified	Unknown	Unknown	1.0	1.3145965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aphro18	Aphro18_contig_1598	11679	No	4	2	0	Low-quality	Genome-fragment	0.95	HMM-based (lower-bound)	1.08		11	0.7005	0	0.0	Unclassified	Unknown	Unknown	1.0	207.91136	0.0	0.0	0.0	0.0	0.067385904	0.38455975	0.006250535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0072780205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030738933	0.74288785	0.0	0.0	0.0	0.0
Aphro18	Aphro18_contig_1636	27138	No	27	2	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	1.02		11	0.786	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae	dsDNA	Eukaryote	1.0	12.3658695	0.0	0.0	0.0	0.0	0.09698578	0.16549759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
